model,img_size,f1_macro_mean,f1_macro_std,f1_weighted_mean,f1_weighted_std,acc_mean,acc_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,runs
efficientnetb5_cbam,224,0.7685044644442919,0.036614735079375446,0.8973088574881048,0.017820002141603255,0.8951762764284692,0.01851981911846396,0.7716932988320121,0.04175458243268629,0.790779811909487,0.04791894899972945,15
efficientnetb5_cbam,192,0.7629395414058746,0.03490074935338242,0.8920915900908348,0.016486224059293314,0.8889880836354658,0.016742595310861603,0.7552578063403028,0.03965314290107056,0.7868460037103502,0.038763613627789066,15
efficientnetb3_cbam,224,0.7625262262748304,0.028200419586893948,0.8924624449731928,0.01373558359968721,0.8916481488700894,0.01494245489335659,0.7734440871917301,0.03830141761459253,0.7730279338448978,0.02844990222179685,15
efficientnetb3_cbam,192,0.7575883366060017,0.05069006663243112,0.8885833100708876,0.020828361169103166,0.8877964471820461,0.02238132405706051,0.7657412123632508,0.05629793022631082,0.7752680201487182,0.05624462747560793,15
efficientnetb0_cbam,224,0.7421074525810134,0.047845622239977306,0.8815379290722987,0.02252754323907056,0.8798760282250204,0.024289289397847746,0.7484392035159005,0.053406842651869894,0.7565038335572303,0.053668147115297334,15
efficientnetb0_cbam,192,0.7382876221368775,0.027633475398180955,0.8824064689288996,0.012967635093483735,0.8804465063090458,0.01313684368265587,0.738385571423906,0.03584117387361026,0.75459537325841,0.0408766562208,15
mobilenetv3large_cbam,224,0.7345454179848143,0.04694372603101058,0.8869804912189649,0.020133955541282614,0.8857471443608437,0.018889228416560214,0.7347522417116455,0.03639538617559784,0.7502036138659388,0.06123981921177432,15
mobilenetv3large_cbam,192,0.7332230228458391,0.05246628496040477,0.882325971624365,0.02555406428268344,0.880749288526763,0.02614041197635509,0.7349419775512083,0.058416199583952194,0.7455449849619096,0.056360483011675386,15
resnet101_cbam,224,0.7322389802201836,0.05669173761515706,0.8758540762884126,0.02578623782414298,0.8757410367367093,0.02718442519718995,0.7497688802541425,0.07188631746158561,0.734430620280768,0.04555215791324552,15
resnet50_cbam,224,0.7260201969369732,0.03272527215164253,0.8814249722211395,0.016382242740898317,0.8804426078255558,0.016284357786925836,0.7387214822614786,0.04226627253104429,0.7400557267582462,0.05683439665820692,15
resnet50_cbam,192,0.7203960137521241,0.03406144742501393,0.8731681944961895,0.019316360580353603,0.8680896131404885,0.023915926301477198,0.7207813501061567,0.047742808381426784,0.7486126689152383,0.045266491620586796,15
resnet101_cbam,192,0.7131908717025534,0.03804623556247283,0.8680553353575663,0.018607931270918865,0.8677764349667979,0.021433932504493602,0.729938165891762,0.054084533163193706,0.7166072240979718,0.04575055293936602,15
densenet121_cbam,224,0.7015419993858579,0.04348953933278326,0.860077838718004,0.020807515670585596,0.8554117448312607,0.02558135205455233,0.6956148395442792,0.050917647251450114,0.7344920698424133,0.05635584837293457,15
mobilenetv2_cbam,224,0.6995526787769785,0.05391806592442366,0.8582879943446972,0.02643875740819144,0.8560030148272323,0.027900617429021814,0.7106092229303463,0.06777439798667752,0.7199895711338365,0.06015162605882299,15
mobilenetv2_cbam,192,0.6747968156705115,0.051014686112544935,0.8426635600518403,0.027049263984632574,0.8398126128935843,0.030072005144032382,0.6871281010227382,0.06516585412887514,0.6982930555981338,0.05947771247996222,15
densenet121_cbam,192,0.6648838245751584,0.04126165729991258,0.8375419789666367,0.02723192004266411,0.8280716801164346,0.03523545298118297,0.651128423624924,0.04750758351302145,0.7039634959558628,0.04574909544416539,15
vgg16_cbam,192,0.6452523572436075,0.05917674878323532,0.8256115325210888,0.029573628725875774,0.813607006874326,0.03800167283370231,0.6264436547077276,0.04862590289822127,0.7021811799631092,0.07666070414943743,15
inceptionv3_cbam,224,0.6431058119587588,0.044786421880313794,0.8263512308541182,0.018447361355469125,0.8271620339687862,0.01776808067962386,0.6715272247432303,0.03804177499828267,0.6419452822712493,0.05997137371062999,15
vgg16_cbam,224,0.627714393883213,0.05809811840134631,0.8072779082766048,0.04464003292867728,0.7891531194365393,0.055710670319890715,0.6020224650848104,0.05656899998203929,0.7019005424311285,0.05741893680859965,15
vgg19_cbam,224,0.6254460309292853,0.06822872784246406,0.7972244549565989,0.05548421472776522,0.7789040063415332,0.06509222543864272,0.6207509519116258,0.06622255464122836,0.7031728241352455,0.07529119059911703,15
inceptionv3_cbam,192,0.618759549642321,0.06511164158029349,0.8002076389314742,0.05059303945336828,0.7935973906150507,0.0630760231530371,0.6244290766502985,0.0831587130256553,0.6446339459846098,0.05319568695553088,15
vgg19_cbam,192,0.6142016170409188,0.06994820603795392,0.7801722554723749,0.07201286380694544,0.7541148493236131,0.08888487778086691,0.6054041296250912,0.06408820326257118,0.6944646515226744,0.06198858213963872,15
